name,LION
PA(43:2),LION:0026575
PA(43:3),LION:0026576
PA(43:4),LION:0026577
PA(43:5),LION:0026578
PA(43:6),LION:0026579
PA(43:7),LION:0026580
PA(43:8),LION:0026581
PA(43:9),LION:0026582
PA(43:10),LION:0026583
PA(45:0),LION:0026584
PA(45:1),LION:0026585
PA(45:2),LION:0026586
PA(45:3),LION:0026587
PA(45:4),LION:0026588
PA(45:5),LION:0026589
PA(45:6),LION:0026590
PA(45:7),LION:0026591
PA(45:8),LION:0026592
PA(45:9),LION:0026593
PA(41:9),LION:0026594
PA(45:10),LION:0026595
PA(45:11),LION:0026596
PA(45:12),LION:0026597
PA(47:0),LION:0026598
PA(47:1),LION:0026599
PA(47:2),LION:0026600
PA(47:3),LION:0026601
PA(47:4),LION:0026602
PA(47:5),LION:0026603
PA(47:6),LION:0026604
PA(47:7),LION:0026605
PA(47:8),LION:0026606
PA(47:9),LION:0026607
PA(47:10),LION:0026608
PA(47:11),LION:0026609
PA(47:12),LION:0026610
PA(47:13),LION:0026611
PA(49:0),LION:0026612
PA(49:1),LION:0026613
PA(49:2),LION:0026614
PA(49:3),LION:0026615
PA(49:4),LION:0026616
PA(49:5),LION:0026617
PA(49:6),LION:0026618
PA(49:7),LION:0026619
PA(49:8),LION:0026620
PA(49:9),LION:0026621
PA(49:10),LION:0026622
PA(49:11),LION:0026637
PA(49:12),LION:0026638
PA(50:0),LION:0026645
PA(50:1),LION:0026646
PA(50:2),LION:0026651
PA(50:3),LION:0026659
PA(50:4),LION:0026664
PA(50:5),LION:0026665
PA(50:6),LION:0026668
PA(50:7),LION:0026672
PA(50:8),LION:0026673
PA(50:9),LION:0026674
PA(50:10),LION:0026675
PA(50:11),LION:0026676
PA(50:12),LION:0026677
PA(49:13),LION:0026682
PA(50:13),LION:0026683
PA(51:0),LION:0026684
PA(51:1),LION:0026687
PA(51:2),LION:0026688
PA(51:3),LION:0026695
PA(51:4),LION:0026696
PA(51:5),LION:0026701
PA(51:6),LION:0026706
PA(51:7),LION:0026707
PA(51:8),LION:0026711
PA(51:9),LION:0026715
PA(51:10),LION:0026716
PA(51:11),LION:0026719
PA(51:12),LION:0026722
PA(51:13),LION:0026729
PA(50:14),LION:0026733
PA(51:14),LION:0026734
PA(52:0),LION:0026736
PA(52:1),LION:0026738
PA(52:2),LION:0026739
PA(52:3),LION:0026740
PA(52:4),LION:0026741
PA(52:5),LION:0026742
PA(52:6),LION:0026747
PA(52:7),LION:0026752
PA(52:8),LION:0026756
PA(52:9),LION:0026757
PA(52:10),LION:0026760
PA(52:11),LION:0026763
PA(52:12),LION:0026772
PA(52:13),LION:0026774
PA(52:14),LION:0026775
PA(P-24:0),LION:0031234
PA(P-25:0),LION:0031240
PA(P-26:0),LION:0031241
PA(P-26:1),LION:0031247
PA(P-27:0),LION:0031248
PA(P-27:1),LION:0031254
PA(P-29:0),LION:0031255
PA(P-29:1),LION:0031256
PA(P-29:2),LION:0031257
